cluster;point_optimizaton_year;point_type;ident;lat;long;y_proj;x_proj
1;1;fixed;Polygon_cluster01_fixed_01; ; ;-1.516416327;20763369.87
1;1;fixed;Polygon_cluster01_fixed_01;-16.43982203;-71.52783352;-1945985.404;2838749.863
1;1;fixed;Polygon_cluster01_fixed_01;-16.43842901;-71.52831465;-1945815.7;2838713.551
1;1;fixed;Polygon_cluster01_fixed_01;-16.43861825;-71.52783741;-1945843.955;2838765.175
1;1;fixed;Polygon_cluster01_fixed_01;-16.43855898;-71.52783152;-1945837.068;2838766.618
1;1;fixed;Polygon_cluster01_fixed_01;-16.43750281;-71.52743786;-1945717.978;2838825.064
1;1;fixed;Polygon_cluster01_fixed_01;-16.43739497;-71.52783315;-1945700.319;2838781.665
1;1;fixed;Polygon_cluster01_fixed_01;-16.43730553;-71.52822839;-1945684.823;2838738.031
1;1;fixed;Polygon_cluster01_fixed_01;-16.43696888;-71.52895098;-1945636.154;2838660.522
1;1;fixed;Polygon_cluster01_fixed_01;-16.43655651;-71.52979476;-1945577.062;2838570.266
1;1;fixed;Polygon_cluster01_fixed_01;-16.4362038;-71.53041234;-1945527.834;2838504.873
1;1;fixed;Polygon_cluster01_fixed_01;-16.43547298;-71.53081017;-1945436.969;2838469.334
1;1;fixed;Polygon_cluster01_fixed_01;-16.43549224;-71.53107986;-1945435.826;2838438.511
1;1;fixed;Polygon_cluster01_fixed_01;-16.43469157;-71.53139927;-1945337.747;2838412.775
1;1;fixed;Polygon_cluster01_fixed_01;-16.43519815;-71.53288188;-1945378.534;2838238.081
1;1;fixed;Polygon_cluster01_fixed_01;-16.43532699;-71.53341305;-1945386.963;2838176.183
1;1;fixed;Polygon_cluster01_fixed_01;-16.43550325;-71.53391097;-1945401.382;2838117.433
1;1;fixed;Polygon_cluster01_fixed_01;-16.43553112;-71.53417237;-1945401.355;2838087.438
1;1;fixed;Polygon_cluster01_fixed_01;-16.43551344;-71.53455548;-1945394.444;2838044.24
1;1;fixed;Polygon_cluster01_fixed_01;-16.43515297;-71.53649175;-1945327.665;2837829.464
1;1;fixed;Polygon_cluster01_fixed_01;-16.43370331;-71.53604694;-1945163.004;2837898.843
1;1;fixed;Polygon_cluster01_fixed_01;-16.43281227;-71.53586618;-1945060.626;2837930.985
1;1;fixed;Polygon_cluster01_fixed_01;-16.4309683;-71.53546192;-1944849.136;2838000.922
1;1;fixed;Polygon_cluster01_fixed_01;-16.43041125;-71.53534852;-1944785.136;2838021.06
1;1;fixed;Polygon_cluster01_fixed_01;-16.43000377;-71.53524706;-1944738.554;2838037.889
1;1;fixed;Polygon_cluster01_fixed_01;-16.42981458;-71.53609485;-1944705.635;2837944.256
1;1;fixed;Polygon_cluster01_fixed_01;-16.43021451;-71.53697238;-1944741.539;2837839.55
1;1;fixed;Polygon_cluster01_fixed_01;-16.43075064;-71.53730956;-1944800.258;2837794.319
1;1;fixed;Polygon_cluster01_fixed_01;-16.43109977;-71.53762167;-1944837.327;2837754.374
1;1;fixed;Polygon_cluster01_fixed_01;-16.4312858;-71.53790828;-1944855.562;2837719.452
1;1;fixed;Polygon_cluster01_fixed_01;-16.43135771;-71.53806506;-1944862.03;2837700.739
1;1;fixed;Polygon_cluster01_fixed_01;-16.43138628;-71.53821932;-1944863.44;2837682.88
1;1;fixed;Polygon_cluster01_fixed_01;-16.43147922;-71.5382165;-1944874.392;2837681.985
1;1;fixed;Polygon_cluster01_fixed_01;-16.43194189;-71.53796431;-1944931.917;2837704.523
1;1;fixed;Polygon_cluster01_fixed_01;-16.43244913;-71.5376611;-1944995.322;2837732.263
1;1;fixed;Polygon_cluster01_fixed_01;-16.43263747;-71.53813007;-1945011.527;2837676.639
1;1;fixed;Polygon_cluster01_fixed_01;-16.43289713;-71.53842873;-1945038.258;2837639.39
1;1;fixed;Polygon_cluster01_fixed_01;-16.43336588;-71.53882497;-1945088.316;2837588.344
1;1;fixed;Polygon_cluster01_fixed_01;-16.43518403;-71.53948598;-1945293.528;2837489.644
1;1;fixed;Polygon_cluster01_fixed_01;-16.43548185;-71.53962273;-1945326.783;2837470.248
1;1;fixed;Polygon_cluster01_fixed_01;-16.43580574;-71.53986002;-1945361.832;2837439.116
1;1;fixed;Polygon_cluster01_fixed_01;-16.43611423;-71.53994402;-1945397.005;2837425.561
1;1;fixed;Polygon_cluster01_fixed_01;-16.43637612;-71.53992308;-1945428.031;2837424.51
1;1;fixed;Polygon_cluster01_fixed_01;-16.43663577;-71.53983112;-1945459.688;2837431.539
1;1;fixed;Polygon_cluster01_fixed_01;-16.43682385;-71.5394534;-1945486.545;2837471.896
1;1;fixed;Polygon_cluster01_fixed_01;-16.43677609;-71.53937737;-1945481.895;2837481.138
1;1;fixed;Polygon_cluster01_fixed_01;-16.43673624;-71.53874501;-1945485.195;2837553.34
1;1;fixed;Polygon_cluster01_fixed_01;-16.43653719;-71.53784872;-1945473.125;2837657.542
1;1;fixed;Polygon_cluster01_fixed_01;-16.43650201;-71.53763243;-1945471.724;2837682.519
1;1;fixed;Polygon_cluster01_fixed_01;-16.43667948;-71.53698279;-1945500.767;2837753.838
1;1;fixed;Polygon_cluster01_fixed_01;-16.43729023;-71.53715693;-1945570.307;2837726.111
1;1;fixed;Polygon_cluster01_fixed_01;-16.43903899;-71.53755638;-1945770.669;2837657.961
1;1;fixed;Polygon_cluster01_fixed_01;-16.44086725;-71.53779744;-1945982.366;2837606.723
1;1;fixed;Polygon_cluster01_fixed_01;-16.44427307;-71.53845687;-1946374.074;2837487.424
1;1;fixed;Polygon_cluster01_fixed_01;-16.44677621;-71.53899099;-1946661.335;2837394.134
1;1;fixed;Polygon_cluster01_fixed_01;-16.44811063;-71.53932299;-1946813.876;2837339.043
1;1;fixed;Polygon_cluster01_fixed_01;-16.44848011;-71.54330645;-1946806.978;2836882.708
1;1;fixed;Polygon_cluster01_fixed_01;-16.44883891;-71.54310621;-1946851.648;2836900.709
1;1;fixed;Polygon_cluster01_fixed_01;-16.4493432;-71.54282174;-1946914.469;2836926.355
1;1;fixed;Polygon_cluster01_fixed_01;-16.4502153;-71.54258434;-1947019.895;2836941.851
1;1;fixed;Polygon_cluster01_fixed_01;-16.45082816;-71.54259657;-1947091.722;2836932.447
1;1;fixed;Polygon_cluster01_fixed_01;-16.45150435;-71.54258572;-1947171.279;2836924.829
1;1;fixed;Polygon_cluster01_fixed_01;-16.45230184;-71.54267515;-1947263.815;2836904.258
1;1;fixed;Polygon_cluster01_fixed_01;-16.45275226;-71.54267223;-1947316.754;2836898.695
1;1;fixed;Polygon_cluster01_fixed_01;-16.45573437;-71.54189925;-1947676.767;2836947.276
1;1;fixed;Polygon_cluster01_fixed_01;-16.45501538;-71.54098837;-1947603.825;2837059.925
1;1;fixed;Polygon_cluster01_fixed_01;-16.45582301;-71.54114084;-1947696.758;2837032.073
1;1;fixed;Polygon_cluster01_fixed_01;-16.4566051;-71.54015156;-1947801.111;2837133.959
1;1;fixed;Polygon_cluster01_fixed_01;-16.45668565;-71.54007133;-1947811.584;2837141.998
1;1;fixed;Polygon_cluster01_fixed_01;-16.45673221;-71.53969868;-1947821.761;2837183.625
1;1;fixed;Polygon_cluster01_fixed_01;-16.45876707;-71.53984481;-1948058.913;2837140.423
1;1;fixed;Polygon_cluster01_fixed_01;-16.45799733;-71.53947826;-1947973.136;2837192.044
1;1;fixed;Polygon_cluster01_fixed_01;-16.45792347;-71.53943915;-1947964.956;2837197.443
1;1;fixed;Polygon_cluster01_fixed_01;-16.45812289;-71.53775637;-1948009.638;2837385.557
1;1;fixed;Polygon_cluster01_fixed_01;-16.45830473;-71.53690821;-1948041.713;2837479.305
1;1;fixed;Polygon_cluster01_fixed_01;-16.4597692;-71.53643757;-1948219.667;2837513.47
1;1;fixed;Polygon_cluster01_fixed_01;-16.46006761;-71.53567916;-1948264.301;2837595.519
1;1;fixed;Polygon_cluster01_fixed_01;-16.46165949;-71.53449197;-1948466.278;2837709.224
1;1;fixed;Polygon_cluster01_fixed_01;-16.46213671;-71.53469852;-1948519.72;2837679.564
1;1;fixed;Polygon_cluster01_fixed_01;-16.46242548;-71.5300827;-1948611.988;2838198.934
1;1;fixed;Polygon_cluster01_fixed_01;-16.45859358;-71.53199665;-1948137.708;2838032.203
1;1;fixed;Polygon_cluster01_fixed_01;-16.45670726;-71.53157089;-1947921.528;2838105.166
1;1;fixed;Polygon_cluster01_fixed_01;-16.45617169;-71.53040417;-1947873.366;2838244.422
1;1;fixed;Polygon_cluster01_fixed_01;-16.45581581;-71.52922651;-1947846.449;2838382.566
1;1;fixed;Polygon_cluster01_fixed_01;-16.45578889;-71.52829408;-1947855.073;2838488.606
1;1;fixed;Polygon_cluster01_fixed_01;-16.45654913;-71.52547995;-1947979.945;2838797.621
1;1;fixed;Polygon_cluster01_fixed_01;-16.45686368;-71.52469609;-1948026.803;2838882.349
1;1;fixed;Polygon_cluster01_fixed_01;-16.45748349;-71.52473195;-1948099.154;2838870.163
1;1;fixed;Polygon_cluster01_fixed_01;-16.45827165;-71.52559448;-1948180.826;2838762.071
1;1;fixed;Polygon_cluster01_fixed_01;-16.46129541;-71.52712611;-1948516.634;2838548.848
1;1;fixed;Polygon_cluster01_fixed_01;-16.46166195;-71.52684141;-1948563.287;2838576.312
1;1;fixed;Polygon_cluster01_fixed_01;-16.46109635;-71.52599755;-1948507.522;2838679.371
1;1;fixed;Polygon_cluster01_fixed_01;-16.46112821;-71.52594727;-1948511.9;2838684.652
1;1;fixed;Polygon_cluster01_fixed_01;-16.46161273;-71.52626277;-1948564.823;2838642.543
1;1;fixed;Polygon_cluster01_fixed_01;-16.46188196;-71.52628247;-1948596.198;2838636.782
1;1;fixed;Polygon_cluster01_fixed_01;-16.46184138;-71.52571034;-1948598.666;2838702.161
1;1;fixed;Polygon_cluster01_fixed_01;-16.46189116;-71.52510475;-1948612.171;2838770.149
1;1;fixed;Polygon_cluster01_fixed_01;-16.46204561;-71.52494535;-1948632.329;2838786.192
1;1;fixed;Polygon_cluster01_fixed_01;-16.46213452;-71.5242056;-1948652.128;2838868.873
1;1;fixed;Polygon_cluster01_fixed_01;-16.46208583;-71.52371288;-1948652.64;2838925.358
1;1;fixed;Polygon_cluster01_fixed_01;-16.46193506;-71.52301146;-1948643.802;2839006.838
1;1;fixed;Polygon_cluster01_fixed_01;-16.46185907;-71.52235214;-1948643.215;2839082.564
1;1;fixed;Polygon_cluster01_fixed_01;-16.46176209;-71.52186991;-1948637.923;2839138.495
1;1;fixed;Polygon_cluster01_fixed_01;-16.460899;-71.52027517;-1948556.713;2839330.568
1;1;fixed;Polygon_cluster01_fixed_01;-16.45985631;-71.51911952;-1948448.851;2839475.228
1;1;fixed;Polygon_cluster01_fixed_01;-16.45938161;-71.5185129;-1948400.763;2839550.21
1;1;fixed;Polygon_cluster01_fixed_01;-16.45837108;-71.51746298;-1948295.341;2839682.467
1;1;fixed;Polygon_cluster01_fixed_01;-16.456032;-71.51487494;-1948053.312;2840006.493
1;1;fixed;Polygon_cluster01_fixed_01;-16.45568993;-71.51453521;-1948017.427;2840049.487
1;1;fixed;Polygon_cluster01_fixed_01;-16.45384265;-71.51657446;-1947774.638;2839842.539
1;1;fixed;Polygon_cluster01_fixed_01;-16.45163189;-71.51443209;-1947542.036;2840114.367
1;1;fixed;Polygon_cluster01_fixed_01;-16.45126157;-71.51438026;-1947499.191;2840125.096
1;1;fixed;Polygon_cluster01_fixed_01;-16.45101566;-71.51463148;-1947467.127;2840099.84
1;1;fixed;Polygon_cluster01_fixed_01;-16.45115647;-71.51489038;-1947480.393;2840068.646
1;1;fixed;Polygon_cluster01_fixed_01;-16.45101566;-71.51526943;-1947459.059;2840027.522
1;1;fixed;Polygon_cluster01_fixed_01;-16.45102742;-71.51546778;-1947457.932;2840004.883
1;1;fixed;Polygon_cluster01_fixed_01;-16.45113305;-71.51571249;-1947467.246;2839975.76
1;1;fixed;Polygon_cluster01_fixed_01;-16.45075552;-71.51621105;-1947416.594;2839924.191
1;1;fixed;Polygon_cluster01_fixed_01;-16.45002053;-71.51661356;-1947325.165;2839888.194
1;1;fixed;Polygon_cluster01_fixed_01;-16.44796849;-71.5175741;-1947071.971;2839806.193
1;1;fixed;Polygon_cluster01_fixed_01;-16.44783971;-71.51783832;-1947053.503;2839777.929
1;1;fixed;Polygon_cluster01_fixed_01;-16.44771023;-71.5188437;-1947025.583;2839665.656
1;1;fixed;Polygon_cluster01_fixed_01;-16.44827048;-71.51962164;-1947081.561;2839570.131
1;1;fixed;Polygon_cluster01_fixed_01;-16.44805325;-71.51982074;-1947053.526;2839550.407
1;1;fixed;Polygon_cluster01_fixed_01;-16.44737888;-71.51900797;-1946984.584;2839651.375
1;1;fixed;Polygon_cluster01_fixed_01;-16.44738943;-71.51884169;-1946987.925;2839670.087
1;1;fixed;Polygon_cluster01_fixed_01;-16.44674188;-71.51870605;-1946913.574;2839693.945
1;1;fixed;Polygon_cluster01_fixed_01;-16.44565923;-71.51857034;-1946788.113;2839723.51
1;1;fixed;Polygon_cluster01_fixed_01;-16.44423043;-71.51810499;-1946626.157;2839794.977
1;1;fixed;Polygon_cluster01_fixed_01;-16.44387209;-71.51798785;-1946585.543;2839812.95
1;1;fixed;Polygon_cluster01_fixed_01;-16.44350874;-71.51837582;-1946537.958;2839773.727
1;1;fixed;Polygon_cluster01_fixed_01;-16.44319185;-71.51900034;-1946492.84;2839707.08
1;1;fixed;Polygon_cluster01_fixed_01;-16.44327948;-71.52128393;-1946474.274;2839447.062
1;1;fixed;Polygon_cluster01_fixed_01;-16.44336189;-71.52285268;-1946464.132;2839268.15
1;1;fixed;Polygon_cluster01_fixed_01;-16.44331779;-71.52304038;-1946456.58;2839247.449
1;1;fixed;Polygon_cluster01_fixed_01;-16.44224326;-71.52506436;-1946304.788;2839032.08
1;1;fixed;Polygon_cluster01_fixed_01;-16.44162046;-71.52527328;-1946228.993;2839016.551
1;1;fixed;Polygon_cluster01_fixed_01;-16.44109958;-71.52546806;-1946165.347;2839001.289
1;1;fixed;Polygon_cluster01_fixed_01;-16.44030166;-71.52573553;-1946068.241;2838981.412
1;1;fixed;Polygon_cluster01_fixed_01;-16.44036721;-71.52595237;-1946073.203;2838955.974
1;1;fixed;Polygon_cluster01_fixed_01;-16.44036722;-71.52601416;-1946072.423;2838948.968
1;1;fixed;Polygon_cluster01_fixed_01;-16.43961979;-71.52717742;-1945969.935;2838826.884
1;1;mobile;Polygon_cluster01_mobile_01; ; ;-1.516416327;20763369.87
1;1;mobile;Polygon_cluster01_mobile_01;-16.45282422;-71.54273068;-1947324.468;2836891.128
1;1;mobile;Polygon_cluster01_mobile_01;-16.45282038;-71.54273077;-1947324.015;2836891.168
1;1;mobile;Polygon_cluster01_mobile_01;-16.45229108;-71.54272797;-1947261.884;2836898.412
1;1;mobile;Polygon_cluster01_mobile_01;-16.45162819;-71.54265186;-1947184.988;2836915.712
1;1;mobile;Polygon_cluster01_mobile_01;-16.4509068;-71.54265306;-1947100.245;2836925.015
1;1;mobile;Polygon_cluster01_mobile_01;-16.45007863;-71.54266897;-1947002.775;2836934.047
1;1;mobile;Polygon_cluster01_mobile_01;-16.44927862;-71.54293733;-1946905.425;2836914.098
1;1;mobile;Polygon_cluster01_mobile_01;-16.44853302;-71.54346848;-1946811.147;2836863.65
1;1;mobile;Polygon_cluster01_mobile_01;-16.44866086;-71.5446118;-1946811.729;2836732.391
1;1;mobile;Polygon_cluster01_mobile_01;-16.44835705;-71.54497452;-1946771.467;2836695.255
1;1;mobile;Polygon_cluster01_mobile_01;-16.44784638;-71.5454983;-1946704.878;2836642.568
1;1;mobile;Polygon_cluster01_mobile_01;-16.44759413;-71.54590224;-1946670.153;2836600.084
