UNICODE;P;D;L;V;lat;long;y_proj;x_proj
1.4.217.1;1;4;217;1;-16.32079982;-71.56827931;-1931496.566;2835714.199
1.4.217.2;1;4;217;2;-16.32080118;-71.56816976;-1931498.098;2835726.606
1.4.217.3;1;4;217;3;-16.3206802;-71.56818882;-1931483.649;2835726.013
1.4.217.4;1;4;217;4;-16.32060805;-71.56820624;-1931474.957;2835724.972
1.4.217.5;1;4;217;5;-16.32052014;-71.56819525;-1931464.769;2835727.36
1.4.217.6;1;4;217;6;-16.32043921;-71.56817487;-1931455.519;2835730.721
1.4.217.7;1;4;217;7;-16.32035439;-71.56817958;-1931445.497;2835731.286
1.4.217.8;1;4;217;8;-16.32027757;-71.56817629;-1931436.516;2835732.656
1.4.217.9;1;4;217;9;-16.32022886;-71.56817882;-1931430.763;2835733
1.4.217.10;1;4;217;10;-16.3201494;-71.56818605;-1931421.34;2835733.21
1.4.217.11;1;4;217;11;-16.32008079;-71.56817858;-1931413.374;2835734.947
1.4.217.12;1;4;217;12;-16.31999642;-71.56817697;-1931403.485;2835736.224
1.4.217.13;1;4;217;13;-16.31992732;-71.56817107;-1931395.442;2835737.789
1.4.217.14;1;4;217;14;-16.3198819;-71.56816703;-1931390.158;2835738.836
1.4.217.15;1;4;217;15;-16.31983386;-71.56817116;-1931384.464;2835738.991
1.4.217.16;1;4;217;16;-16.31974581;-71.56815478;-1931374.327;2835741.99
1.4.217.17;1;4;217;17;-16.31975076;-71.56827967;-1931373.345;2835727.76
1.4.217.18;1;4;217;18;-16.31975213;-71.56799567;-1931377.062;2835759.955
1.4.217.19;1;4;217;19;-16.31979718;-71.56788395;-1931383.752;2835772.042
1.4.217.20;1;4;217;20;-16.31988503;-71.56788897;-1931394.008;2835770.333
1.4.217.21;1;4;217;21;-16.32001883;-71.5679484;-1931408.979;2835761.858
1.4.217.22;1;4;217;22;-16.32012934;-71.56789889;-1931422.579;2835766.041
1.4.217.23;1;4;217;23;-16.32020133;-71.56786392;-1931431.472;2835769.073
1.4.217.24;1;4;217;24;-16.32027498;-71.56793392;-1931439.247;2835760.179
1.4.217.25;1;4;217;25;-16.32033927;-71.567936;-1931446.771;2835759.109
1.4.217.26;1;4;217;26;-16.32045036;-71.56790546;-1931460.202;2835761.133
1.4.217.27;1;4;217;27;-16.32058152;-71.56790067;-1931475.667;2835759.975
1.4.217.28;1;4;217;28;-16.32065808;-71.56787586;-1931484.97;2835761.796
1.4.217.29;1;4;217;29;-16.32079045;-71.56787235;-1931500.561;2835760.478
1.4.217.30;1;4;217;30;-16.3207647;-71.56799501;-1931496.001;2835746.9
1.4.217.31;1;4;217;31;-16.32073071;-71.56769918;-1931495.713;2835780.894
1.4.217.32;1;4;217;32;-16.32058566;-71.56768347;-1931478.874;2835784.557
1.4.217.33;1;4;217;33;-16.3204591;-71.56768278;-1931464.017;2835786.276
1.4.217.34;1;4;217;34;-16.32039269;-71.56768242;-1931456.221;2835787.178
1.4.217.35;1;4;217;35;-16.32031015;-71.5676612;-1931446.792;2835790.655
1.4.217.36;1;4;217;36;-16.32022347;-71.56767156;-1931436.482;2835790.605
1.4.217.37;1;4;217;37;-16.32015117;-71.56766939;-1931428.016;2835791.788
1.4.217.38;1;4;217;38;-16.32007857;-71.5676833;-1931419.314;2835791.151
1.4.217.39;1;4;217;39;-16.32000909;-71.56770325;-1931410.905;2835789.789
1.4.217.40;1;4;217;40;-16.31994382;-71.56770859;-1931403.171;2835790.03
1.4.217.41;1;4;217;41;-16.31984503;-71.56770542;-1931391.607;2835791.67
1.4.217.42;1;4;217;42;-16.31972741;-71.56769322;-1931377.946;2835794.58
1.4.217.43;1;4;217;43;-16.31978623;-71.56761081;-1931385.886;2835803.165
1.4.217.44;1;4;217;44;-16.31977923;-71.56754217;-1931385.923;2835811.041
1.4.217.45;1;4;217;45;-16.31976294;-71.56737674;-1931386.082;2835830.016
1.4.217.46;1;4;217;46;-16.31977749;-71.56747089;-1931386.611;2835819.147
1.4.217.47;1;4;217;47;-16.31993234;-71.56743051;-1931405.305;2835821.72
1.4.217.48;1;4;217;48;-16.32001003;-71.56743194;-1931414.412;2835820.55
1.4.217.49;1;4;217;49;-16.32008823;-71.5674473;-1931423.405;2835817.794
1.4.217.50;1;4;217;50;-16.32016272;-71.56744623;-1931432.167;2835816.95
1.4.217.51;1;4;217;51;-16.32023973;-71.56747934;-1931440.798;2835812.196
1.4.217.52;1;4;217;52;-16.32031879;-71.56742639;-1931450.747;2835817.176
1.4.217.53;1;4;217;53;-16.32039933;-71.56744797;-1931459.937;2835813.684
1.4.217.54;1;4;217;54;-16.32046372;-71.56740075;-1931468.091;2835818.205
