"unicode","P","D","L","V","lat","long","y_proj","x_proj"
"1.3.1.1","1","3","1","1",-16.3921589,-71.54623545,-1940154.875,2837286.2
"1.3.1.2","1","3","1","2",-16.39207736,-71.54622347,-1940145.448,2837288.621
"1.3.1.3","1","3","1","3",-16.3920049,-71.54621492,-1940137.044,2837290.535
"1.3.1.4","1","3","1","4",-16.3919297,-71.54619212,-1940128.498,2837294.101
"1.3.1.5","1","3","1","5",-16.39179981,-71.54614794,-1940113.798,2837300.804
"1.3.1.6","1","3","1","6",-16.39171777,-71.54611088,-1940104.628,2837306.075
"1.3.1.7","1","3","1","7",-16.39164738,-71.54606783,-1940096.902,2837311.874
"1.3.1.8","1","3","1","8",-16.39154917,-71.5460247,-1940085.909,2837318.045
"1.3.1.9","1","3","1","9",-16.39147536,-71.54599708,-1940077.588,2837322.138
"1.3.1.10","1","3","1","10",-16.39139565,-71.54598785,-1940068.341,2837324.224
"1.3.1.11","1","3","1","11",-16.39128952,-71.54599405,-1940055.796,2837324.905
"1.3.1.12","1","3","1","12",-16.391189,-71.54601574,-1940043.717,2837323.756
"1.3.1.12A","1","3","1","12A",-16.3911066,-71.54609451,-1940033.047,2837315.9
"1.3.1.13","1","3","1","13",-16.39103283,-71.54611863,-1940024.079,2837314.126
"1.3.1.14","1","3","1","14",-16.39094558,-71.54615204,-1940013.41,2837311.475
"1.3.1.15","1","3","1","15",-16.39084003,-71.54615044,-1940001.033,2837313.033
"1.3.1.16","1","3","1","16",-16.39077917,-71.54618332,-1939993.47,2837310.099
"1.3.1.16A","1","3","1","16A",-16.39073079,-71.54620176,-1939987.556,2837308.638
"1.3.1.17","1","3","1","17",-16.39073231,-71.54619998,-1939987.756,2837308.82
"1.3.1.18","1","3","1","18",-16.39061957,-71.54625175,-1939973.863,2837304.42
"1.3.1.19","1","3","1","19",-16.39209342,-71.54638263,-1940145.331,2837270.366
"1.3.1.20","1","3","1","20",-16.39212504,-71.54646188,-1940148.048,2837260.968
"1.3.1.21","1","3","1","21",-16.39213863,-71.54653962,-1940148.666,2837251.977
"1.3.1.22","1","3","1","22",-16.39216751,-71.54661306,-1940151.135,2837243.273
"1.3.1.23","1","3","1","23",-16.39219071,-71.54671584,-1940152.565,2837231.317
"1.3.1.24","1","3","1","24",-16.39220967,-71.54677903,-1940153.998,2837223.906
"1.3.1.25","1","3","1","25",-16.39223027,-71.54683337,-1940155.733,2837217.476
"1.3.1.26","1","3","1","26",-16.39224286,-71.54688356,-1940156.581,2837211.622
"1.3.1.27","1","3","1","27",-16.39225241,-71.54694439,-1940156.937,2837204.6
"1.3.1.28","1","3","1","28",-16.39227757,-71.54704815,-1940158.586,2837192.507
"1.3.1.29","1","3","1","29",-16.3912966,-71.54737603,-1940039.238,2837168.12
"1.3.1.30","1","3","1","30",-16.39113713,-71.54732082,-1940021.201,2837176.458
"1.3.1.31","1","3","1","31",-16.39105461,-71.54728598,-1940011.947,2837181.484
"1.3.1.32","1","3","1","32",-16.39097589,-71.54726155,-1940003.009,2837185.28
"1.3.1.33","1","3","1","33",-16.39091863,-71.5472445,-1939996.497,2837187.96
"1.3.1.34","1","3","1","34",-16.39084718,-71.54721833,-1939988.434,2837191.859
"1.3.1.35","1","3","1","35",-16.39077308,-71.54719274,-1939980.053,2837195.726
"1.3.1.36","1","3","1","36",-16.39070046,-71.54716622,-1939971.857,2837199.68
"1.3.1.37","1","3","1","37",-16.39062063,-71.54712996,-1939962.936,2837204.832
"1.3.1.38","1","3","1","38",-16.39052779,-71.54709049,-1939952.528,2837210.517
"1.3.1.39","1","3","1","39",-16.39044268,-71.54706334,-1939942.873,2837214.704
"1.3.1.40","1","3","1","40",-16.39034802,-71.54701705,-1939932.337,2837221.187
"1.3.1.41","1","3","1","41",-16.39026154,-71.54698051,-1939922.639,2837226.458
"1.3.1.42","1","3","1","42",-16.39018908,-71.54694762,-1939914.542,2837231.131
"1.3.1.43","1","3","1","43",-16.39009793,-71.54690986,-1939904.31,2837236.601
"1.3.1.44","1","3","1","44",-16.39099655,-71.54752859,-1940002.075,2837154.733
"1.3.1.45","1","3","1","45",-16.390905,-71.54759655,-1939990.466,2837148.221
"1.3.1.46","1","3","1","46",-16.39082352,-71.54764361,-1939980.303,2837143.948
"1.3.1.47","1","3","1","47",-16.39073312,-71.54769998,-1939968.977,2837138.734
"1.3.1.48","1","3","1","48",-16.39065863,-71.54775447,-1939959.542,2837133.527
"1.3.1.49","1","3","1","49",-16.39052577,-71.54779033,-1939943.485,2837131.193
"1.3.1.50","1","3","1","50",-16.39040267,-71.54772869,-1939929.801,2837139.786
"1.3.1.51","1","3","1","51",-16.39031781,-71.54769063,-1939920.313,2837145.208
"1.3.1.52","1","3","1","52",-16.39017108,-71.54805253,-1939898.525,2837106.087
"1.3.1.53","1","3","1","53",-16.39001177,-71.54814701,-1939878.625,2837097.452
"1.3.1.54","1","3","1","54",-16.38991116,-71.54820662,-1939866.057,2837092.004
"1.3.1.55","1","3","1","55",-16.38981274,-71.54825931,-1939853.833,2837087.313
"1.3.1.56","1","3","1","56",-16.3896969,-71.54835867,-1939838.977,2837077.557
"1.3.1.57","1","3","1","57",-16.389528,-71.54846134,-1939817.847,2837068.117
"1.3.1.58","1","3","1","58",-16.38958754,-71.54830692,-1939826.783,2837084.85
"1.3.1.59","1","3","1","59",-16.38964616,-71.54816239,-1939835.487,2837100.473
"1.3.1.60","1","3","1","60",-16.38969937,-71.54804578,-1939843.205,2837113.001
"1.3.1.61","1","3","1","61",-16.38973174,-71.54792821,-1939848.485,2837125.91
"1.3.1.62","1","3","1","62",-16.38977348,-71.54782863,-1939854.641,2837136.656
"1.3.1.63","1","3","1","63",-16.39024419,-71.54721972,-1939917.591,2837199.561
"1.3.1.64","1","3","1","64",-16.39021216,-71.54730108,-1939912.806,2837190.753
"1.3.1.64A","1","3","1","64A",-16.39018517,-71.54737763,-1939908.671,2837182.426
"1.3.1.64B","1","3","1","64B",-16.39015375,-71.54746227,-1939903.916,2837173.238
"1.3.1.65","1","3","1","65",-16.39009323,-71.54756282,-1939895.542,2837162.627
"1.3.1.66","1","3","1","66",-16.38987872,-71.54746973,-1939871.518,2837175.978
"1.3.1.67","1","3","1","67",-16.38992351,-71.5473867,-1939877.824,2837184.809
"1.3.1.68","1","3","1","68",-16.38995752,-71.54730301,-1939882.872,2837193.854
"1.3.1.69","1","3","1","69",-16.38999913,-71.54721252,-1939888.898,2837203.572
"1.3.1.70","1","3","1","70",-16.39003541,-71.54711902,-1939894.335,2837213.701
"1.3.2.1","1","3","2","1",-16.39134672,-71.55082335,-1940001.749,2836776.605
"1.3.2.2","1","3","2","2",-16.39164689,-71.55039762,-1940042.363,2836820.962
"1.3.2.2A","1","3","2","2A",-16.39146127,-71.55012809,-1940023.951,2836853.94
"1.3.2.2B","1","3","2","2B",-16.39138438,-71.55017387,-1940014.344,2836849.752
"1.3.2.2C","1","3","2","2C",-16.39127889,-71.55025014,-1940000.995,2836842.479
"1.3.2.2D","1","3","2","2D",-16.39111504,-71.55037605,-1939980.165,2836830.339
"1.3.2.2E","1","3","2","2E",-16.39095801,-71.55046459,-1939960.607,2836822.347
"1.3.2.2F","1","3","2","2F",-16.39086719,-71.55052385,-1939949.194,2836816.811
"1.3.2.2G","1","3","2","2G",-16.3907973,-71.55058526,-1939940.213,2836810.76
"1.3.2.2H","1","3","2","2H",-16.3907219,-71.55064897,-1939930.555,2836804.519
"1.3.2.2I","1","3","2","2I",-16.39064348,-71.55070196,-1939920.678,2836799.532
"1.3.2.3","1","3","2","3",-16.39178836,-71.55024493,-1940060.9,2836836.43
"1.3.2.3A","1","3","2","3A",-16.3918358,-71.55024106,-1940066.52,2836836.25
"1.3.2.4","1","3","2","4",-16.3918916,-71.55023428,-1940073.16,2836836.292
"1.3.2.5","1","3","2","5",-16.39198459,-71.55022363,-1940084.216,2836836.287
"1.3.2.6","1","3","2","6",-16.39199073,-71.55041736,-1940082.5,2836814.242
"1.3.2.6A","1","3","2","6A",-16.39199699,-71.55053945,-1940081.699,2836800.318
"1.3.2.6B","1","3","2","6B",-16.39209175,-71.55046568,-1940093.758,2836807.447
"1.3.2.7","1","3","2","7",-16.39200826,-71.55063608,-1940081.808,2836789.215
"1.3.2.8","1","3","2","8",-16.3920257,-71.55076857,-1940082.189,2836773.966
"1.3.2.9","1","3","2","9",-16.39188141,-71.55075078,-1940065.465,2836777.863
"1.3.2.10","1","3","2","10",-16.39186774,-71.55063928,-1940065.262,2836790.683
"1.3.2.11","1","3","2","11",-16.39185662,-71.55052981,-1940065.333,2836803.24
"1.3.2.12","1","3","2","12",-16.3918404,-71.55045065,-1940064.423,2836812.426
"1.3.2.12A","1","3","2","12A",-16.39182021,-71.55036942,-1940063.074,2836821.9
"1.3.2.13","1","3","2","13",-16.39180494,-71.55030086,-1940062.144,2836829.872
"1.3.2.14","1","3","2","14",-16.39188831,-71.54999118,-1940075.832,2836863.897
"1.3.2.15","1","3","2","15",-16.39220653,-71.55014733,-1940111.244,2836842.045
"1.3.2.16","1","3","2","16",-16.39226846,-71.55013631,-1940118.657,2836842.488
"1.3.2.17","1","3","2","17",-16.39232929,-71.55012592,-1940125.933,2836842.873
"1.3.2.18","1","3","2","18",-16.39238428,-71.55011523,-1940132.526,2836843.368
"1.3.2.19","1","3","2","19",-16.39242174,-71.55010853,-1940137.01,2836843.639
"1.3.2.20","1","3","2","20",-16.39246169,-71.55010158,-1940141.79,2836843.906
"1.3.2.21","1","3","2","21",-16.39251767,-71.55009249,-1940148.48,2836844.208
"1.3.2.22","1","3","2","22",-16.39251917,-71.55024504,-1940146.736,2836826.892
"1.3.2.23","1","3","2","23",-16.39253942,-71.55034298,-1940147.883,2836815.523
"1.3.2.24","1","3","2","24",-16.39257992,-71.55041516,-1940151.731,2836806.812
"1.3.2.25","1","3","2","25",-16.39263271,-71.55035662,-1940158.668,2836812.761
"1.3.2.26","1","3","2","26",-16.39266268,-71.55027689,-1940163.192,2836821.41
"1.3.2.27","1","3","2","27",-16.392662,-71.55016359,-1940164.537,2836834.265
