"unicode","P","D","L","V","lat","long","y_proj","x_proj"
"1.17.1.1","1","17","1","1","-16.45983868370587","-71.48695180711329","-1948854.05109924","2843121.98816354"
"1.17.1.2","1","17","1","2","-16.46004812580184","-71.48696106761051","-1948878.5403931","2843118.18776294"
"1.17.1.3","1","17","1","3","-16.46007125198578","-71.48705683054256","-1948880.04384979","2843107.02740538"
"1.17.1.4","1","17","1","4","-16.46006794600742","-71.48714786740219","-1948878.50177913","2843096.74997526"
"1.17.1.5","1","17","1","5","-16.46008051087356","-71.48724185565307","-1948878.78692251","2843085.92952616"
"1.17.1.6","1","17","1","6","-16.46009604129052","-71.48732906673564","-1948879.50636496","2843075.83846551"
"1.17.1.7","1","17","1","7","-16.46011217985138","-71.48742120588614","-1948880.23480977","2843065.18073138"
"1.17.1.8","1","17","1","8","-16.46012486151617","-71.48751165097629","-1948880.57858848","2843054.76045713"
"1.17.1.9","1","17","1","9","-16.46015187243689","-71.48760863360764","-1948882.52301616","2843043.41085452"
"1.17.1.10","1","17","1","10","-16.46016870062983","-71.48768711644306","-1948883.50554962","2843034.29229688"
"1.17.1.11","1","17","1","11","-16.46017685861781","-71.48779988901718","-1948883.03493584","2843021.40019524"
"1.17.1.12","1","17","1","12","-16.45985418424926","-71.48713176497165","-1948853.59171183","2843101.38274716"
"1.17.1.13","1","17","1","13","-16.45984909120093","-71.48702916890716","-1948854.29348036","2843113.08096307"
"1.17.1.14","1","17","1","14","-16.46025587211207","-71.48695831211573","-1948902.9827204","2843115.77185476"
"1.17.1.15","1","17","1","15","-16.46038262676388","-71.48681903217657","-1948919.639763","2843129.89733991"
"1.17.1.16","1","17","1","16","-16.46040684852118","-71.48693130298356","-1948921.06270316","2843116.85110591"
"1.17.1.17","1","17","1","17","-16.46042561062455","-71.48701810321997","-1948922.1669957","2843106.76417749"
"1.17.1.18","1","17","1","18","-16.46045044140485","-71.48714097158903","-1948923.52719752","2843092.5085239"
"1.17.1.19","1","17","1","19","-16.46047194853468","-71.48724610054641","-1948924.72172764","2843080.30764267"
"1.17.1.20","1","17","1","20","-16.46049407570725","-71.48736482154587","-1948925.81686295","2843066.55770575"
"1.17.1.21","1","17","1","21","-16.46051932293639","-71.48748816258768","-1948927.22002093","2843052.24303518"
"1.17.1.22","1","17","1","22","-16.46052514764745","-71.48759596245083","-1948926.53825398","2843039.94534024"
"1.17.1.23","1","17","1","23","-16.46058756467382","-71.48778439047771","-1948931.48355239","2843017.76370151"
"1.17.1.24","1","17","1","24","-16.46051506999825","-71.48776108608313","-1948923.26176387","2843021.35774043"
"1.17.1.25","1","17","1","25","-16.46039846100588","-71.48776070258556","-1948909.5666973","2843022.93258139"
"1.17.1.26","1","17","1","26","-16.46038574918932","-71.48762114175773","-1948909.84178833","2843038.92144013"
"1.17.1.27","1","17","1","27","-16.46034970645031","-71.48750830099947","-1948907.03722216","2843052.18746844"
"1.17.1.28","1","17","1","28","-16.46034096755868","-71.48740477978426","-1948907.3223857","2843064.03838559"
"1.17.1.29","1","17","1","29","-16.46032286391307","-71.48726648619517","-1948906.94797853","2843079.95442806"
"1.17.1.30","1","17","1","30","-16.46031089659153","-71.48716469273005","-1948906.83196501","2843091.65188849"
"1.17.1.31","1","17","1","31","-16.4602877652348","-71.48704647195981","-1948905.61251142","2843105.35833407"
"1.17.1.32","1","17","1","32","-16.46061383439879","-71.48667534539312","-1948948.62452759","2843143.15058382"
"1.17.1.33","1","17","1","33","-16.46076782271525","-71.48658510739465","-1948967.85971909","2843151.35844446"
"1.17.1.34","1","17","1","34","-16.46077878180612","-71.48667253315868","-1948968.03929476","2843141.30307541"
"1.17.1.35","1","17","1","35","-16.4607878694045","-71.486749173047","-1948968.13569095","2843132.49508286"
"1.17.1.36","1","17","1","36","-16.46080613079529","-71.48683824413155","-1948969.15234539","2843122.15729199"
"1.17.1.37","1","17","1","37","-16.46082769931876","-71.48693504353493","-1948970.459605","2843110.8999188"
"1.17.1.38","1","17","1","38","-16.4608457005839","-71.48702730154353","-1948971.40531735","2843100.20425969"
"1.17.1.39","1","17","1","39","-16.46086600747312","-71.48712998156475","-1948972.48983491","2843088.29679096"
"1.17.1.40","1","17","1","40","-16.46086840955898","-71.48720619742764","-1948971.80616642","2843079.62470205"
"1.17.1.41","1","17","1","41","-16.46088824549516","-71.48731290789233","-1948972.78428537","2843067.26650603"
"1.17.1.42","1","17","1","42","-16.46090702069496","-71.48740411378471","-1948973.83427435","2843056.6799911"
"1.17.1.43","1","17","1","43","-16.4609278046608","-71.48748725734947","-1948975.22244115","2843046.98112132"
"1.17.1.44","1","17","1","44","-16.46095453854819","-71.48757421671029","-1948977.26128689","2843036.77152495"
"1.17.1.45","1","17","1","45","-16.4609979088629","-71.48770387291231","-1948980.71359882","2843021.50295674"
"1.17.1.46","1","17","1","46","-16.46093531146123","-71.48775593172599","-1948972.69956136","2843016.42319036"
"1.17.1.47","1","17","1","47","-16.46078873759289","-71.48776877777595","-1948955.31639876","2843016.89176885"
"1.17.1.48","1","17","1","48","-16.46079838388176","-71.48768984718538","-1948957.44995115","2843025.71337115"
"1.17.1.49","1","17","1","49","-16.4607920874437","-71.4876024297251","-1948957.81801148","2843035.70649843"
"1.17.1.50","1","17","1","50","-16.46078873967021","-71.48751229903802","-1948958.56688756","2843045.96850315"
"1.17.1.51","1","17","1","51","-16.46076010332243","-71.48743113840554","-1948956.23103591","2843055.54569907"
"1.17.1.52","1","17","1","52","-16.46074338970351","-71.48734404306248","-1948955.37115156","2843065.63913504"
