UNICODE;P;D;L;V;lat;long;y_proj;x_proj
1.10.1.1;1;10;1;1;-16.40291941;-71.51602213;-1941799.549;2840571.587
1.10.1.2;1;10;1;2;-16.40289454;-71.51597087;-1941797.273;2840577.724
1.10.1.3;1;10;1;3;-16.40285496;-71.51591494;-1941793.329;2840584.584
1.10.1.4;1;10;1;4;-16.40281634;-71.51585767;-1941789.514;2840591.582
1.10.1.5;1;10;1;5;-16.40279519;-71.51580396;-1941787.707;2840597.949
1.10.1.6;1;10;1;6;-16.40277395;-71.51575001;-1941785.892;2840604.344
1.10.1.7;1;10;1;7;-16.4027478;-71.51570592;-1941783.377;2840609.686
1.10.1.8;1;10;1;8;-16.40271795;-71.51565392;-1941780.526;2840615.972
1.10.1.9;1;10;1;9;-16.40268171;-71.51560091;-1941776.937;2840622.457
1.10.1.10;1;10;1;10;-16.40264481;-71.51553503;-1941773.433;2840630.409
1.10.1.11;1;10;1;11;-16.40261833;-71.51548697;-1941770.929;2840636.205
1.10.1.12;1;10;1;12;-16.40259323;-71.515438;-1941768.598;2840642.086
1.10.1.13;1;10;1;13;-16.40256254;-71.51539225;-1941765.569;2840647.676
1.10.1.14;1;10;1;14;-16.40253045;-71.51534729;-1941762.367;2840653.193
1.10.1.15;1;10;1;15;-16.40250518;-71.51529438;-1941760.066;2840659.523
1.10.1.16;1;10;1;16;-16.40245842;-71.51521926;-1941755.52;2840668.652
1.10.1.17;1;10;1;17;-16.40243293;-71.51517613;-1941753.069;2840673.875
1.10.1.18;1;10;1;18;-16.40255786;-71.51500853;-1941769.86;2840691.249
1.10.1.19;1;10;1;19;-16.4026343;-71.51493839;-1941779.725;2840698.202
1.10.1.20;1;10;1;20;-16.40269593;-71.5148626;-1941787.921;2840705.992
1.10.1.21;1;10;1;21;-16.40277181;-71.51477597;-1941797.927;2840714.823
1.10.1.22;1;10;1;22;-16.40284293;-71.51469755;-1941807.271;2840722.787
1.10.1.23;1;10;1;23;-16.40291348;-71.51460441;-1941816.735;2840732.426
1.10.1.24;1;10;1;24;-16.40295201;-71.51453198;-1941822.175;2840740.135
1.10.1.25;1;10;1;25;-16.4030039;-71.51446741;-1941829.085;2840746.779
1.10.1.26;1;10;1;26;-16.4030454;-71.51440892;-1941834.698;2840752.869
1.10.1.27;1;10;1;27;-16.4030756;-71.51436001;-1941838.863;2840758.021
1.10.1.28;1;10;1;28;-16.40313464;-71.51430718;-1941846.466;2840763.24
1.10.1.29;1;10;1;29;-16.40319324;-71.51421752;-1941854.481;2840772.641
1.10.1.30;1;10;1;30;-16.40322736;-71.51426665;-1941857.87;2840766.624
1.10.1.31;1;10;1;31;-16.40324209;-71.51435279;-1941858.513;2840756.664
1.10.1.32;1;10;1;32;-16.40329519;-71.51440527;-1941864.089;2840750.019
1.10.1.33;1;10;1;33;-16.40337101;-71.51449375;-1941871.88;2840738.994
1.10.1.34;1;10;1;34;-16.4034161;-71.51458084;-1941876.078;2840728.53
1.10.1.35;1;10;1;35;-16.40344848;-71.51461843;-1941879.408;2840723.844
1.10.1.36;1;10;1;36;-16.40350316;-71.51466853;-1941885.2;2840717.448
1.10.1.37;1;10;1;37;-16.40356481;-71.51477713;-1941891.072;2840704.328
1.10.1.38;1;10;1;38;-16.40365659;-71.51488278;-1941900.522;2840691.148
1.10.1.39;1;10;1;39;-16.40357828;-71.51500528;-1941889.776;2840678.281
