"unicode","P","D","L","V","lat","long","y_proj","x_proj"
"1.1.2.60","1","1","2","60","-16.38275854348411","-71.51573112256968","-1939434.75472443","2840867.89465148"
"1.1.2.61","1","1","2","61","-16.38282513292003","-71.51583539530752","-1939441.26375768","2840855.19999132"
"1.1.2.62","1","1","2","62","-16.38288016761627","-71.51592780972896","-1939446.56476062","2840844.00100574"
"1.1.2.63","1","1","2","63","-16.38292551013545","-71.51599795208952","-1939451.00776512","2840835.45439022"
"1.1.2.64","1","1","2","64","-16.38297217626354","-71.5160734668148","-1939455.53857191","2840826.28123073"
"1.1.2.65","1","1","2","65","-16.38306369496623","-71.51618561369132","-1939464.87706069","2840812.36822668"
"1.1.2.66","1","1","2","66","-16.38312346857178","-71.51628333333333","-1939470.66793437","2840800.50576973"
"1.1.2.67","1","1","2","67","-16.3830766664556","-71.51634596353904","-1939464.38048923","2840794.01385669"
"1.1.2.68","1","1","2","68","-16.38301035512701","-71.51641324967122","-1939455.74245444","2840787.24856179"
"1.1.2.69","1","1","2","69","-16.38295089447525","-71.51646741549584","-1939448.07455806","2840781.88179786"
"1.1.2.70","1","1","2","70","-16.38290713353636","-71.51641938841861","-1939443.53869417","2840787.89966769"
"1.1.2.70A","1","1","2","70A","-16.38292801821087","-71.51640102007136","-1939446.22365642","2840789.71020209"
"1.1.2.71","1","1","2","71","-16.38287777209238","-71.5163355018794","-1939441.14630657","2840797.79636861"
"1.1.2.72","1","1","2","72","-16.38285028096104","-71.51629559396474","-1939438.41950708","2840802.68110195"
"1.1.2.73","1","1","2","73","-16.38279683978609","-71.51622387292051","-1939433.04495764","2840811.51243943"
"1.1.2.74","1","1","2","74","-16.38273349336288","-71.51614534062624","-1939426.59256435","2840821.24552844"
"1.1.2.75","1","1","2","75","-16.38267267962218","-71.51605993283411","-1939420.52433946","2840831.72531178"
"1.1.2.76","1","1","2","76","-16.38260561210616","-71.51599869751833","-1939413.41684258","2840839.54535178"
"1.1.2.77","1","1","2","77","-16.38250425319847","-71.5159","-1939402.75282652","2840852.06154531"
"1.1.2.78","1","1","2","78","-16.38262651072492","-71.51581111144731","-1939418.23563998","2840860.54655922"
"1.1.2.79","1","1","2","79","-16.3821388771677","-71.51593409341872","-1939359.39892944","2840852.9640357"
"1.1.2.80","1","1","2","80","-16.38229362344351","-71.51591345942049","-1939377.83848721","2840853.28434204"
