n_microred;microred;cluster;code_point;point_name;lat;long;y_proj;x_proj;type_point;estratategy
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_001; Interseccion Calle Jorge Chavez Con Av. Salaverry;-16.431001;-71.536448;-1944840535;2837888712;Fixed;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_002; Interssecion Calle Sanchez Trujillo Con Av. Salaverry;-16.432325;-71.536793;-1944991696;2837832293;Fixed;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_003; El Mirador De Salaverry Av. Salaverry Con Fernandini;-16.433889;-71.53744;-1945167236;2837738501;Fixed;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_004; Interseccion Calle Fernandini Con Calle Sanchez Trujillo;-16.433719;-71.538911;-1945128706;2837573976;Fixed;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_005; Interseccion Sanchez Cerro Con Av. Salaverry (Parque);-16.434946;-71.538193;-1945281886;2837639323;Fixed;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_006; Interseccion Calle Sanchez Trujillo Con Calle Miguel Grau;-16.436317;-71.539849;-1945422021;2837433.68;Mobile;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_007; Cancha_Mariscal_Castilla;-16.436196;-71.538516;-1945424.63;2837586364;Fixed;Propuesto
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_008; Puesto De Salud Salaverry/ Av. Las Pe�as;-16.435055;-71.536473;-1945316394;2837832.87;Fixed;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_009; El Porvenir Interseccion Condesuyos Con Calle Camana;-16.436137;-71.535289;-1945458427;2837952935;Fixed;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_010; Capilla_Santisima_Virgen_De_Chapi;-16.437255;-71.537119;-1945566647;2837730872;Fixed;Propuesto
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_011; Interseccion Calle Chiclayo Con Calle Abancay;-16.435896;-71.532028;-1945471283;2838325748;Fixed;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_012; Interseccion Calle Los Alamos Con Calle Los Geranios;-16.43849;-71.534149;-1945749197;2838051384;Fixed;Establecido
